,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
541,"At the Olympics, the athlete's perseverance shines through, earning a gold medal and inspiring a generation with their remarkable achievement. ",Positive,2020-08-08 19:45:00, OlympicsEnthusiastGoldMedalWinner ,Twitter, #Inspiration #OlympicAchievement ,35.0,70.0, USA ,2020,8,8,19
542,"In the cricket championship, a nail-biting finish leaves fans on the edge of their seats, experiencing a rollercoaster of emotions. ",Positive,2019-06-25 22:15:00, CricketFanChampionshipThrills ,Facebook, #Excitement #CricketChampionship ,30.0,60.0, India ,2019,6,25,22
543,"Witnessing a record-breaking marathon, spectators are filled with awe and admiration for the endurance and dedication of the runners. ",Positive,2021-11-07 17:30:00, MarathonSpectatorRecordBreaking ,Instagram, #Admiration #MarathonRecords ,22.0,45.0, Kenya ,2021,11,7,17
563,"Exploring the vibrant street art of a cultural neighborhood, each mural tells a story, infusing the city with creativity and expression. ",Positive,2017-11-05 21:15:00, ArtEnthusiastStreetArtExploration ,Instagram, #Creativity #StreetArtVibes ,22.0,45.0, Brazil ,2017,11,5,21
565,"Connecting with the melody of a live orchestra, the music enthusiast experiences a symphony that resonates deep within the soul. ",Positive,2016-08-22 19:45:00, MusicLoverLiveOrchestraExperience ,Facebook, #Harmony #OrchestraMelody ,18.0,35.0, UK ,2016,8,22,19
580,Successfully avoided eye contact with my crush in the hallway. Mission accomplished. #TeenCrush #StealthMode ,Positive,2023-05-20 19:45:00, CrushAvoider ,Twitter, #CrushStruggles #AvoidingEyeContact ,15.0,30.0, USA,2023,5,20,19
582,Spent an hour choosing the perfect filter for a selfie. The struggle for that Instagram aesthetic is real. #SelfieQueen #TeenVibes ,Positive,2023-05-22 14:30:00, SelfieAddict ,Facebook, #SelfieStruggle #TeenConfessions ,22.0,45.0, UK,2023,5,22,14
586,Survived a group project without any drama. Miracles do happen. #GroupProjectSuccess #TeenAchievements ,Positive,2023-05-26 14:20:00, GroupGenius ,Twitter, #TeenSuccess #ProjectMiracle ,28.0,55.0, UK,2023,5,26,14
589,"Discovered a new book series and spent the whole night reading. Who needs sleep, anyway? #BookwormLife #LateNightReading ",Positive,2023-05-29 23:30:00, NightReader ,Twitter, #BookDiscoveries #TeenReading ,30.0,60.0, UK,2023,5,29,23
590,"Bought a new video game, played for hours, forgot to eat. The ultimate gaming session. #GamerLife #NoFoodGaming ",Positive,2023-05-30 20:45:00, GamingEnthusiast ,Instagram, #GameOn #TeenGamer ,22.0,45.0, USA,2023,5,30,20
591,Spent the day binge-watching a new series. Productivity level: Zero. #LazyDay #TVSeriesMarathon ,Positive,2023-05-31 15:30:00, LazyWatcher ,Facebook, #BingeWatchDay #TeenLife ,35.0,70.0, Canada,2023,5,31,15
592,Caught up on the latest fashion trends and now planning a shopping spree. #Fashionista #TrendyTeen ,Positive,2023-06-01 18:00:00, TrendExplorer ,Twitter, #FashionGoals #TeenStyle ,20.0,40.0, USA,2023,6,1,18
594,Spent hours creating the perfect playlist for every mood. Music is my therapy. #PlaylistMaker #TeenMusicLover ,Positive,2023-06-03 21:15:00, MusicAficionado ,Facebook, #MusicTherapy #TeenPlaylist ,22.0,45.0, Canada,2023,6,3,21
596,Spontaneously booked a weekend getaway. Adventure awaits! #TravelBug #WeekendEscape ,Positive,2023-06-05 10:00:00, AdventureSeeker ,Instagram, #GetawayGoals #TeenTravel ,18.0,35.0, UK,2023,6,5,10
597,Attended a concert and danced the night away. Music is the heartbeat of life. #ConcertVibes #DanceAllNight ,Positive,2023-06-06 22:30:00, DanceEnthusiast ,Facebook, #MusicMagic #TeenConcert ,28.0,55.0, Canada,2023,6,6,22
598,Rediscovered childhood cartoons and had a nostalgia-filled marathon. #CartoonNostalgia #TeenMemories ,Positive,2023-06-07 12:45:00, NostalgiaExplorer ,Twitter, #ChildhoodMemories #TeenCartoons ,22.0,45.0, USA,2023,6,7,12
599,Embarked on a DIY home decor project. Let's hope it turns out better than last time. #DIYAdventure #TeenHomeDecor ,Positive,2023-06-08 16:00:00, HomeDecorator ,Instagram, #DIYGoals #TeenCreative ,35.0,70.0, UK,2023,6,8,16
603,"Reflecting on a lifetime of memories, each wrinkle tells a story. Embracing the beauty of aging. #LifeReflections #BeautyInAging ",Positive,2023-06-12 18:00:00, WiseSoul ,Twitter, #AgingGracefully #Memories ,28.0,55.0, UK,2023,6,12,18
607,"Attended a classical music concert, feeling the timeless melodies resonate. Music transcends generations. #ClassicalMusic #TimelessMelodies ",Positive,2023-06-16 21:45:00, MusicConnoisseur ,Facebook, #MusicLover #SeniorConcert ,18.0,35.0, Canada,2023,6,16,21
608,Capturing the beauty of nature through photography. Every snapshot is a treasure. #NaturePhotography #SeniorPhotographer ,Positive,2023-06-17 15:00:00, PhotographySenior ,Instagram, #NatureCapture #SeniorMoments ,35.0,70.0, USA,2023,6,17,15
610,"Embarked on a road trip to revisit cherished places from the past. Nostalgia, the ultimate travel companion. #RoadTrip #NostalgiaTour ",Positive,2023-06-19 16:30:00, RoadTripSenior ,Facebook, #CherishedPlaces #SeniorTravel ,22.0,45.0, Canada,2023,6,19,16
611,"Joined a community choir, harmonizing with fellow voices. Music creates bonds that withstand time. #CommunityChoir #HarmonyInAging ",Positive,2023-06-20 14:20:00, ChoirEnthusiast ,Instagram, #MusicHarmony #SeniorVoices ,20.0,40.0, USA,2023,6,20,14
615,"Participated in a community art class, unleashing creativity in the golden years. Art has no age limit. #ArtClass #SeniorArtistry ",Positive,2023-06-24 16:15:00, ArtisticSenior ,Twitter, #CreativityAtAnyAge #SeniorCreativity ,22.0,45.0, Canada,2023,6,24,16
616,"Embarking on a journey of writing a memoir, documenting a lifetime of experiences. Every story matters. #MemoirWriting #SeniorStories ",Positive,2023-06-25 20:30:00, MemoiristSenior ,Facebook, #LifetimeExperiences #SeniorMemoir ,35.0,70.0, USA,2023,6,25,20
619,"Joined a nature photography club, capturing the beauty of the great outdoors. Every click is a connection to nature. #NaturePhotography #SeniorPhotographer ",Positive,2023-06-28 22:15:00, NaturePhotographySenior ,Facebook, #OutdoorBeauty #SeniorClicks ,18.0,35.0, UK,2023,6,28,22
620,"Attended a jazz concert and swayed to the rhythm of timeless tunes. Music, a constant companion in the golden years. #JazzConcert #SeniorMusic ",Positive,2023-06-29 16:30:00, JazzMusicLover ,Instagram, #TimelessTunes #SeniorJazz ,25.0,50.0, USA,2023,6,29,16
621,"Joined a writing group, penning down thoughts and reflections. Writing, a journey into the depths of the soul. #WritingGroup #SeniorWriter ",Positive,2023-06-30 19:30:00, SeniorWordsmith ,Twitter, #SoulfulWriting #SeniorReflections ,28.0,55.0, UK,2023,6,30,19
622,"Embarked on a solo travel adventure, discovering the beauty of new places at my own pace. #SoloTravel #SeniorExplorer ",Positive,2023-07-01 14:00:00, SoloAdventurer ,Instagram, #DiscoverNewPlaces #SeniorTravel ,30.0,60.0, USA,2023,7,1,14
623,"Attended a vintage car show, reminiscing about the classics that once ruled the roads. Nostalgia in every rev. #VintageCars #ClassicRides ",Positive,2023-07-02 18:30:00, CarEnthusiastSenior ,Facebook, #RoadTripDownMemoryLane #SeniorCars ,22.0,45.0, UK,2023,7,2,18
624,"Started a community garden, growing not just plants but friendships too. Green thumbs unite! #CommunityGarden #SeniorGardener ",Positive,2023-07-03 12:45:00, GreenThumbSenior ,Twitter, #GardenFriends #SeniorGreenThumb ,28.0,55.0, Canada,2023,7,3,12
626,"Enrolled in a dance class for seniors, moving to the rhythm of life. Age is just a number on the dance floor. #DanceClass #SeniorDancer ",Positive,2023-07-05 20:15:00, DanceEnthusiastSenior ,Twitter, #DanceLife #SeniorMoves ,18.0,35.0, UK,2023,7,5,20
627,"Visited an art gallery, appreciating the brushstrokes that tell tales of creativity. Art, an eternal companion. #ArtGallery #SeniorArtLover ",Positive,2023-07-06 14:30:00, ArtGalleryVisitor ,Facebook, #CreativeExpressions #SeniorArt ,25.0,50.0, USA,2023,7,6,14
628,"Started a book club for seniors, where discussions are as lively as the characters in the novels. #BookClub #SeniorReaders ",Positive,2023-07-07 19:45:00, SeniorBookClub ,Instagram, #BookishTalks #SeniorBookworms ,22.0,45.0, UK,2023,7,7,19
630,"Participated in a local theater production, proving that the stage belongs to every age. #TheaterProduction #SeniorActor ",Positive,2023-07-09 22:30:00, SeniorActor ,Facebook, #StagePassion #SeniorTheater ,20.0,40.0, USA,2023,7,9,22
631,"Embarked on a hiking adventure, conquering trails and relishing the beauty of nature. Age is just a number on the mountaintop. #HikingAdventure #SeniorHiker ",Positive,2023-07-10 14:20:00, SeniorHikerExplorer ,Instagram, #NatureTrailBlazer #SeniorExplorer ,28.0,55.0, UK,2023,7,10,14
632,Hosted a photography exhibition featuring snapshots of a life well-lived. Every photo has a story to tell. #PhotographyExhibition #SeniorPhotographer ,Positive,2023-07-11 18:45:00, SeniorPhotographerExhibitor ,Twitter, #LifeInPictures #SeniorExhibition ,22.0,45.0, Canada,2023,7,11,18
633,"Joined a seniors' cycling club, feeling the wind in my hair and the freedom of the open road. #CyclingClub #SeniorCyclist ",Positive,2023-07-12 13:45:00, SeniorCyclingEnthusiast ,Facebook, #OpenRoadAdventures #SeniorCycling ,25.0,50.0, USA,2023,7,12,13
634,"Attended a wine tasting event, savoring the richness of flavors that age like fine wine. Cheers to the golden years! #WineTasting #SeniorWineLover ",Positive,2023-07-13 20:00:00, SeniorWineConnoisseur ,Instagram, #AgedToPerfection #SeniorCheers ,35.0,70.0, UK,2023,7,13,20
635,"Started learning ballroom dancing, gliding gracefully across the dance floor. Ageless elegance in every step. #BallroomDancing #SeniorDancer ",Positive,2023-07-14 16:15:00, SeniorBallroomDancer ,Twitter, #GracefulMoves #SeniorDance ,20.0,40.0, USA,2023,7,14,16
636,"Organized a community painting event, turning blank canvases into a masterpiece of shared creativity. #PaintingEvent #SeniorArtist ",Positive,2023-07-15 19:30:00, SeniorPaintingOrganizer ,Facebook, #CommunityArt #SeniorCreativity ,28.0,55.0, Canada,2023,7,15,19
637,"Hosted a 'memory lane' evening with old friends, reminiscing about the adventures that shaped our lives. #MemoryLane #SeniorReminiscing ",Positive,2023-07-16 14:00:00, SeniorMemoriesHost ,Instagram, #FriendshipAdventures #SeniorNostalgia ,30.0,60.0, USA,2023,7,16,14
639,"Attended a local jazz festival, tapping toes to the tunes that have stood the test of time. Music, a lifelong love affair. #JazzFestival #SeniorMusicLover ",Positive,2023-07-18 16:30:00, SeniorJazzFestivalGoer ,Facebook, #TimelessTunes #SeniorJazz ,25.0,50.0, USA,2023,7,18,16
640,"Started a blog sharing the wisdom gained through the years, proving that every day is a chance to learn and grow. #SeniorWisdom #Blog ",Positive,2023-07-19 19:45:00, WisdomBloggerSenior ,Instagram, #LifeLessons #SeniorBlog ,22.0,45.0, UK,2023,7,19,19
641,"Participated in a charity run, proving that age is no barrier to supporting meaningful causes. #CharityRun #SeniorRunner ",Positive,2023-07-20 17:00:00, SeniorCharityRunner ,Twitter, #RunForACause #SeniorSupport ,30.0,60.0, Canada,2023,7,20,17
643,Exploring the world of coding. Debugging is an adventure on its own! #CodingJourney #HighSchoolCoder ,Positive,2023-08-02 14:45:00, CodeExplorerHighSchool ,Twitter, #CodingAdventure #HighSchoolCoderLife ,25.0,50.0, UK,2023,8,2,14
644,"Joined the school debate team. Words are my weapons, and I'm ready for battle! ",Positive,2023-08-03 12:15:00, DebateWarriorHighSchool ,Facebook, #DebateWarrior #HighSchoolDebater ,18.0,35.0, Canada,2023,8,3,12
645,"Started a photography club at school. Capturing moments, one snapshot at a time! ",Positive,2023-08-04 16:30:00, PhotoClubHighSchool ,Instagram, #PhotographyClub #HighSchoolPhotographer ,22.0,45.0, USA,2023,8,4,16
646,"Daydreaming about the upcoming prom. The dress, the dance – it's a fairytale in the making! ",Positive,2023-08-05 19:45:00, PromDreamerHighSchool ,Twitter, #PromDreams #HighSchoolFairytale ,30.0,60.0, Canada,2023,8,5,19
647,Convinced the teacher to have class outdoors. Learning equations with a side of fresh air! ,Positive,2023-08-06 14:00:00, OutdoorClassHighSchool ,Facebook, #OutdoorClassroom #HighSchoolExplorer ,28.0,55.0, USA,2023,8,6,14
649,Trying to master the perfect kickflip on my skateboard. Skating into the weekend like a pro! ,Positive,2023-08-08 16:00:00, SkateProHighSchool ,Twitter, #SkaterLife #HighSchoolSkater ,30.0,60.0, Canada,2023,8,8,16
650,Bonding with friends over the latest K-pop sensation. Fangirling at its finest! ,Positive,2023-08-09 22:30:00, KpopFangirlHighSchool ,Facebook, #KpopFangirl #HighSchoolMusic ,20.0,40.0, USA,2023,8,9,22
651,Spent hours perfecting a chemistry experiment. Mixing potions like a wizard! ,Positive,2023-08-10 14:20:00, ChemistryWizardHighSchool ,Instagram, #ChemistryWizard #HighSchoolScientist ,28.0,55.0, UK,2023,8,10,14
652,Successfully organized a surprise birthday party for a friend. Party planning expert mode: Achieved! ,Positive,2023-08-11 18:45:00, BirthdayPartyPlannerHighSchool ,Twitter, #BirthdayParty #HighSchoolCelebration ,22.0,45.0, Canada,2023,8,11,18
653,"Joined the drama club to unleash my inner actor. Lights, camera, action! ",Positive,2023-08-12 13:45:00, DramaClubStarHighSchool ,Facebook, #DramaClubStar #HighSchoolActor ,25.0,50.0, USA,2023,8,12,13
654,Got my hands on the latest fantasy novel. Diving into realms of magic and adventure! ,Positive,2023-08-13 20:00:00, FantasyBookNerdHighSchool ,Instagram, #FantasyBookNerd #HighSchoolReader ,35.0,70.0, UK,2023,8,13,20
655,Mastering the art of the perfect doodle during boring classes. Doodles: A+! ,Positive,2023-08-14 16:15:00, DoodleMasterHighSchool ,Twitter, #DoodleMaster #HighSchoolArt ,20.0,40.0, USA,2023,8,14,16
656,Attempting to break the school record for the longest handstand. Wish me luck! ,Positive,2023-08-15 19:30:00, HandstandChallengeHighSchool ,Facebook, #HandstandChallenge #HighSchoolAthlete ,28.0,55.0, Canada,2023,8,15,19
658,Hosting a sleepover with friends this weekend. Preparing for a night of laughter and memories! ,Positive,2023-08-17 22:15:00, SleepoverHostHighSchool ,Twitter, #SleepoverFun #HighSchoolMemories ,18.0,35.0, UK,2023,8,17,22
662,Mastered the art of creating paper airplanes during lecture. Paper planes: Soaring to new heights! ,Positive,2023-08-21 15:45:00, PaperPlaneExpertHighSchool ,Instagram, #PaperPlaneExpert #HighSchoolArt ,15.0,30.0, USA,2023,8,21,15
663,Trying to set a new trend by juggling textbooks between classes. Academic juggling: A unique skill! ,Positive,2023-08-22 12:30:00, JugglingProHighSchool ,Facebook, #TextbookJuggling #HighSchoolSkills ,22.0,40.0, Canada,2023,8,22,12
665,Planning a surprise scavenger hunt for friends. Anticipating the thrill and excitement! ,Positive,2023-08-24 18:20:00, ScavengerHuntMasterHighSchool ,Instagram, #SurpriseAdventure #HighSchoolFun ,20.0,38.0, UK,2023,8,24,18
666,Danced in the rain to celebrate the end of exams. Rain dance: Unexpectedly refreshing! ,Positive,2023-08-25 14:15:00, RainDanceCelebrationHighSchool ,Facebook, #RainDance #HighSchoolJoy ,25.0,50.0, Canada,2023,8,25,14
669,Perfecting the art of creating origami during a dull lecture. Origami mastery: A+! ,Positive,2023-08-28 16:00:00, OrigamiProHighSchool ,Twitter, #OrigamiMaster #HighSchoolArt ,18.0,36.0, USA,2023,8,28,16
670,Attempting to set a new record for the most consecutive hacky sack kicks. Hacky sack skills: Unleashed! ,Positive,2023-08-29 13:45:00, HackySackChampionHighSchool ,Instagram, #HackySackChallenge #HighSchoolAthlete ,26.0,48.0, Canada,2023,8,29,13
671,Creating a secret handshake with friends. Friendship level: Expert! ,Positive,2023-08-30 17:30:00, SecretHandshakeHighSchool ,Facebook, #FriendshipGoals #HighSchoolMemories ,20.0,40.0, USA,2023,8,30,17
672,Embarking on a mission to find the best burger joint in town. Burger connoisseur: Reporting for duty! ,Positive,2023-08-31 20:15:00, BurgerQuestHighSchool ,Twitter, #BurgerQuest #HighSchoolFoodie ,24.0,42.0, UK,2023,8,31,20
673,Practicing a stand-up comedy routine for the upcoming talent show. Comedy gig: In the making! ,Positive,2023-09-01 14:45:00, ComedyGeniusHighSchool ,Instagram, #StandUpComedy #HighSchoolTalent ,21.0,39.0, Canada,2023,9,1,14
675,Attempting to impress the teacher with an elaborate science experiment. Science geek mode: Activated! ,Positive,2023-09-03 22:00:00, ScienceExperimentProHighSchool ,Twitter, #ScienceGeek #HighSchoolExperiments ,23.0,44.0, UK,2023,9,3,22
676,Crafting intricate friendship bracelets for the whole squad. Friendship level: Expert weaver! ,Positive,2023-09-04 15:15:00, BraceletCraftsmanHighSchool ,Instagram, #FriendshipBracelets #HighSchoolCrafts ,19.0,37.0, USA,2023,9,4,15
677,Attempting to beat the record for the most consecutive cartwheels. Cartwheel challenge: Underway! ,Positive,2023-09-05 12:30:00, CartwheelMasterHighSchool ,Twitter, #CartwheelChallenge #HighSchoolAthlete ,27.0,52.0, Canada,2023,9,5,12
678,Organizing a movie marathon with friends. Popcorn and cinematic adventures await! ,Positive,2023-09-06 16:45:00, MovieMarathonHostHighSchool ,Facebook, #MovieNight #HighSchoolMemories ,22.0,43.0, UK,2023,9,6,16
679,Experimenting with a new hair color. A bold change for a bold semester! ,Positive,2023-09-07 18:20:00, HairColorExperimentHighSchool ,Instagram, #HairExperiment #HighSchoolStyle ,20.0,39.0, USA,2023,9,7,18
680,Building a time capsule to capture memories for the future. Time-traveling emotions! ,Positive,2023-09-08 14:15:00, TimeCapsuleCreatorHighSchool ,Facebook, #TimeCapsule #HighSchoolNostalgia ,26.0,48.0, Canada,2023,9,8,14
682,Trying out a new smoothie recipe for a healthy start to the week. Smoothie enthusiast: Level up! ,Positive,2023-09-10 20:45:00, SmoothieConnoisseurHighSchool ,Instagram, #HealthyLiving #HighSchoolWellness ,23.0,42.0, UK,2023,9,10,20
718,Celebrating a friend's birthday with a surprise party. Joyful moments and laughter all around! ,Positive,2023-10-16 15:45:00, BirthdaySurpriseHighSchool ,Instagram, #SurpriseParty #HighSchoolCelebration ,27.0,52.0, UK,2023,10,16,15
719,Successfully completing a challenging coding project. Excitement for overcoming coding hurdles! ,Positive,2023-10-17 12:30:00, CodingSuccessHighSchool ,Twitter, #CodingTriumph #HighSchoolTech ,24.0,48.0, USA,2023,10,17,12
720,Attending a school talent show to support classmates. Applauding the diverse talents on display! ,Positive,2023-10-18 16:45:00, TalentShowSupportHighSchool ,Facebook, #TalentShow #HighSchoolEntertainment ,19.0,38.0, Canada,2023,10,18,16
721,"Exploring a new hiking trail with friends over the weekend. Nature, laughter, and good vibes! ",Positive,2023-10-19 18:20:00, WeekendHikeHighSchool ,Instagram, #NatureAdventures #HighSchoolFriends ,21.0,42.0, UK,2023,10,19,18
722,Winning a friendly sports competition against rival schools. Victory celebrations in full swing! ,Positive,2023-10-20 14:15:00, SportsVictoryHighSchool ,Twitter, #SportsTriumph #HighSchoolAthletics ,26.0,50.0, USA,2023,10,20,14
723,Receiving a heartfelt letter from a pen pal in another country. Connecting across the globe! ,Positive,2023-10-21 17:30:00, PenPalConnectionHighSchool ,Facebook, #GlobalFriendship #HighSchoolCorrespondence ,23.0,45.0, Canada,2023,10,21,17
724,Creating a beautiful mural with fellow art enthusiasts. The power of collaboration and creativity! ,Positive,2023-10-22 20:45:00, MuralCreationHighSchool ,Instagram, #ArtCollaboration #HighSchoolCreativity ,22.0,43.0, UK,2023,10,22,20
725,Participating in a school-wide art exhibition. Witnessing creativity and spreading positive vibes! ,Positive,2015-11-10 16:45:00, ArtExhibitionJoyHighSchool ,Instagram, #ArtisticExpression #HighSchoolCreativity ,23.0,44.0, USA,2015,11,10,16
726,Achieving a personal best in a track and field competition. The thrill of victory and self-improvement! ,Positive,2016-09-14 12:30:00, TrackFieldSuccessHighSchool ,Twitter, #AthleticAchievement #HighSchoolSports ,26.0,51.0, Canada,2016,9,14,12
727,Collaborating on a science project that received recognition at a regional fair. Science triumphs and smiles! ,Positive,2017-08-18 18:20:00, ScienceProjectSuccessHighSchool ,Facebook, #ScienceFairWinner #HighSchoolScience ,20.0,39.0, UK,2017,8,18,18
728,"Attending a surprise birthday party organized by friends. Surrounded by love, laughter, and good company! ",Positive,2018-06-22 14:15:00, BirthdayPartyJoyHighSchool ,Instagram, #SurpriseCelebration #HighSchoolFriendship ,25.0,48.0, USA,2018,6,22,14
729,Successfully fundraising for a school charity initiative. The joy of giving back to the community! ,Positive,2019-04-05 17:30:00, CharityFundraisingTriumphHighSchool ,Twitter, #CommunityGiving #HighSchoolPhilanthropy ,22.0,42.0, Canada,2019,4,5,17
730,"Participating in a multicultural festival, celebrating diversity with music, dance, and delicious food! ",Positive,2020-02-29 20:45:00, MulticulturalFestivalJoyHighSchool ,Facebook, #CulturalCelebration #HighSchoolUnity ,21.0,43.0, UK,2020,2,29,20
731,"Organizing a virtual talent show during challenging times, bringing smiles to classmates' faces! ",Positive,2020-11-15 15:15:00, VirtualTalentShowSuccessHighSchool ,Instagram, #VirtualEntertainment #HighSchoolPositivity ,24.0,47.0, USA,2020,11,15,15
1, Traffic was terrible this morning.                 ,Negative,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8
8, Political discussions heating up on the timeline.  ,Negative,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8
11, Feeling a bit under the weather today.             ,Negative,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10
19, Winter blues got me feeling low.                   ,Negative,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15
52, Can't believe the injustice happening in our society.,Negative,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9
53, Feeling a sense of fear after watching a thriller movie. ,Negative,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21
54, Heartbroken after hearing the news about a natural disaster. ,Negative,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14
55, The state of the world's environment is just disgusting. ,Negative,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18
64, Disappointed with the service at a local restaurant.    ,Negative,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9
69, A bitter experience turned into a valuable lesson.      ,Negative,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15
75, A moment of shame for not standing up against injustice. ,Negative,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19
76, Fuming with anger after a heated argument.            ,Negative,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9
77, The fear of the unknown is keeping me up at night.    ,Negative,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21
78, Heartfelt sadness after bidding farewell to a dear friend. ,Negative,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14
79, The state of corruption in our society is utterly disgusting. ,Negative,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18
88, Disappointed with the lack of progress in a personal project. ,Negative,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9
93, Bitter experience at the customer service department.   ,Negative,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0, USA       ,2023,2,26,15
99, A moment of shame for not speaking up against injustice.,Negative,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0, India     ,2023,2,28,19
102, Feeling bitter about the unfairness in the workplace.   ,Negative,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0, Canada    ,2023,3,1,17
108, Shame for not being true to my values in a difficult situation.,Negative,2023-03-03 12:00:00, ReflectiveSelf3 ,Twitter, #Shame #Integrity                           ,15.0,30.0, UK        ,2023,3,3,12
166, Jealousy consumes me as I witness others' success. ,Negative,2020-08-12 11:30:00, EnviousObserver   ,Twitter, #Jealousy #Envy                               ,12.0,25.0, India        ,2020,8,12,11
168, Frustration mounts as obstacles block my path.     ,Negative,2017-01-30 16:10:00, BlockedGoals      ,Facebook, #Frustration #Obstacles                       ,10.0,20.0, USA          ,2017,1,30,16
169," Boredom sets in, the day feels endlessly dull.     ",Negative,2016-09-28 19:45:00, BoredMind         ,Twitter, #Boredom #LackOfInterest                     ,8.0,15.0, Canada        ,2016,9,28,19
170," Anxiety grips my heart, worry clouds my thoughts.  ",Negative,2019-04-15 09:00:00, WorriedMind       ,Instagram, #Anxiety #Worry                               ,12.0,25.0, UK           ,2019,4,15,9
173, Envy eats away at me as I see others' prosperity.  ,Negative,2018-11-07 11:30:00, CovetousMind     ,Instagram, #Envy #Desire                                ,10.0,20.0, Canada        ,2018,11,7,11
175, Disgust at the sight of injustice and cruelty.     ,Negative,2019-02-11 09:45:00, DisgustedHeart   ,Twitter, #Disgust #Injustice                          ,7.0,15.0, India        ,2019,2,11,9
179," Jealousy gnaws at my confidence, a toxic emotion.  ",Negative,2018-06-03 16:30:00, SelfDoubt        ,Instagram, #Jealousy #Insecurity                       ,8.0,15.0, India         ,2018,6,3,16
181," Frustration boils over, a volcanic eruption of emotions.",Negative,2017-04-10 14:45:00, ExplosiveMind    ,Twitter, #Frustration #EmotionalOutburst             ,12.0,25.0, USA          ,2017,4,10,14
182," Boredom settles like dust, life feels mundane.     ",Negative,2016-11-28 19:00:00, MundaneHeart     ,Instagram, #Boredom #Monotony                          ,7.0,15.0, Canada        ,2016,11,28,19
183," Anxiety grips my chest, a relentless grip on my thoughts.",Negative,2018-09-05 09:30:00, RestlessMind     ,Facebook, #Anxiety #Restlessness                      ,10.0,20.0, UK            ,2018,9,5,9
186," Envy poisons my thoughts, coveting others' success.",Negative,2017-03-20 11:30:00, GreenEyedMonster ,Facebook, #Envy #Success                              ,10.0,20.0, Canada        ,2017,3,20,11
188, Disgust at the corruption that stains society.     ,Negative,2016-07-01 09:45:00, CorruptedHeart   ,Instagram, #Disgust #Corruption                        ,7.0,15.0, UK            ,2016,7,1,9
192," Jealousy poisons my thoughts, resentment brewing within.",Negative,2018-08-05 16:30:00, PoisonedMind    ,Facebook, #Jealousy #Resentment                       ,8.0,15.0, USA           ,2018,8,5,16
194," Frustration escalates, a thunderstorm of emotions. ",Negative,2022-04-05 14:45:00, ThunderingMind   ,Instagram, #Frustration #EmotionalOutburst            ,12.0,25.0, UK            ,2022,4,5,14
195," Boredom lingers, a stagnant pool of indifference.  ",Negative,2021-10-02 19:00:00, StagnantHeart    ,Facebook, #Boredom #Stagnation                        ,7.0,15.0, Canada        ,2021,10,2,19
297," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",Negative,2019-03-08 14:20:00, VenomousSoul ,Facebook, #Bitterness #ResentmentWeb ,12.0,24.0, UK ,2019,3,8,14
300," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",Negative,2022-05-12 02:00:00, NightPrisoner ,Facebook, #Fearful #ImaginedHorrors ,18.0,36.0, India ,2022,5,12,2
